cluster,n_documentos,coesao_media
0,6,0.16903100999969345
1,9,0.2407290699657102
2,16,0.14201915759758585
3,12,0.11168243559270327
4,10,0.21319258464254023
5,10,0.1112105862968249
6,10,0.0628851226264358
7,9,0.17174830142234643
8,6,0.07983931213960196
9,12,0.11235168773458061
